SUBSTATION_NUMBER,TRANSFORMER_TYPE,TOTAL_CUSTOMERS,Transformer_RATING,Percentage_IC,LV_FEEDER_COUNT,GRID_REFERENCE
552525,Grd Mtd Dist. Substation,59,315,0.606658677,4,SO142200098100
552526,Grd Mtd Dist. Substation,111,300,0.089990511,3,SO142000105400
552527,Grd Mtd Dist. Substation,1,300,0.436020275,1,SO141600101500
552584,Grd Mtd Dist. Substation,203,315,0.055438067,4,SO029500070800
552585,Grd Mtd Dist. Substation,159,315,0.003246903,3,SO025300069700
552586,Grd Mtd Dist. Substation,1,500,0.037089403,1,SO023300067600
552589,Pole Mtd Dist. Substation,1,5,0,1,SO020600074900
552590,Grd Mtd Dist. Substation,282,500,0,5,SO020200070500
552591,Grd Mtd Dist. Substation,4,500,0,1,SO019000072000
552701,Pole Mtd Dist. Substation,12,16,1,1,SO156300020400
552703,Grd Mtd Dist. Substation,208,300,0.160582277,2,SO151500021700
552704,Pole Mtd Dist. Substation,3,25,0.388753748,1,SO154300013300
552705,Pole Mtd Dist. Substation,1,200,0,1,SO151900017700
552706,Pole Mtd Dist. Substation,1,4,0,1,SO151700012500
552708,Pole Mtd Dist. Substation,5,15,0.759115216,1,SO150900008900
552711,Pole Mtd Dist. Substation,1,16,1,1,SO148500011800
552712,Pole Mtd Dist. Substation,6,50,1,1,SO146000010600
552713,Pole Mtd Dist. Substation,2,15,0.285509326,1,SO144200019100
552714,Pole Mtd Dist. Substation,1,16,0,1,SO141900019000
552715,Pole Mtd Dist. Substation,2,25,1,1,SO138600022500
552716,Pole Mtd Dist. Substation,1,16,0,1,SO134600019800
552823,Grd Mtd Dist. Substation,243,500,0.356654152,5,ST163000979400
552824,Grd Mtd Dist. Substation,169,315,0.05207815,5,ST162000975300
552825,Grd Mtd Dist. Substation,77,1000,0.914805405,5,ST159700990100
552827,Grd Mtd Dist. Substation,190,300,0.199958545,3,ST158800994600
552828,Grd Mtd Dist. Substation,157,300,0.14198327,3,ST158500984900
552829,Grd Mtd Dist. Substation,95,200,0.047732914,3,ST158400987800
552830,Grd Mtd Dist. Substation,182,300,0.32760513,4,SO168800011400
552831,Grd Mtd Dist. Substation,232,315,0.294510057,5,SO167200015000
552832,Grd Mtd Dist. Substation,33,200,0,2,SO166300017300
552833,Grd Mtd Dist. Substation,91,315,0.120476112,3,SO164500011800
552834,Grd Mtd Dist. Substation,92,200,0.138476606,2,SO163400027400
552835,Grd Mtd Dist. Substation,195,315,0.007857088,4,SO158400007300
552836,Grd Mtd Dist. Substation,132,300,0.346894964,5,SO158200003500
552837,Grd Mtd Dist. Substation,139,300,0.004940613,2,SO157600000600
552839,Grd Mtd Dist. Substation,139,300,0.002896136,3,SO155600004900
552840,Grd Mtd Dist. Substation,166,300,0.388194775,2,SO155200000900
552841,Grd Mtd Dist. Substation,274,300,0.224201947,4,SO154800002900
552842,Pole Mtd Dist. Substation,1,16,0,1,SO161900022700
552844,Pole Mtd Dist. Substation,3,25,0.800104231,1,SO160800020300
552845,Pole Mtd Dist. Substation,3,16,0,1,SO160100015800
552851,Pole Mtd Dist. Substation,1,16,0,1,SO161600013700
552852,Pole Mtd Dist. Substation,0,15,0,0,SO159800009500
552856,Pole Mtd Dist. Substation,1,16,0,1,SO076400014600
552858,Grd Mtd Dist. Substation,101,300,0.018306376,3,SO074500019100
552859,Pole Mtd Dist. Substation,121,200,0,2,SO073600022800
552861,Grd Mtd Dist. Substation,166,300,0.432330922,3,SO072300024600
552862,Pole Mtd Dist. Substation,34,100,0,1,SO071700025800
552863,Pole Mtd Dist. Substation,328,200,0.352946345,5,SO070800027600
552865,Grd Mtd Dist. Substation,259,300,0.017840637,4,SO065300036500
552866,Grd Mtd Dist. Substation,181,300,0.225547634,4,SO065200035200
552867,Grd Mtd Dist. Substation,59,800,0.997765011,5,SO065100032400
552868,Grd Mtd Dist. Substation,15,750,1,4,SO064100032900
552869,Grd Mtd Dist. Substation,89,300,0.521590611,4,SO063300038100
552871,Grd Mtd Dist. Substation,8,500,0.972313055,2,SO060000042100
552909,Grd Mtd Dist. Substation,167,300,0.030351441,5,SO047000082200
552910,Grd Mtd Dist. Substation,177,315,0.337255855,4,SO046200078200
552911,Grd Mtd Dist. Substation,209,300,0.001243166,4,SO046000084800
552913,Grd Mtd Dist. Substation,62,500,0.139388955,3,SO041800080500
552914,Grd Mtd Dist. Substation,280,800,0.114458542,4,SO041100082900
552946,Grd Mtd Dist. Substation,8,315,0.957346489,2,SO078900085000
552947,Grd Mtd Dist. Substation,11,1000,0.987990342,2,SO077500088000
552948,Grd Mtd Dist. Substation,11,1000,1,3,SO076000086500
552949,Grd Mtd Dist. Substation,138,315,0.119660481,4,SO075800081800
552950,Grd Mtd Dist. Substation,0,315,0.100469836,0,SO075300080400
552952,Grd Mtd Dist. Substation,285,500,0.160321642,4,SO071900079900
552953,Grd Mtd Dist. Substation,46,500,0.438677054,3,SO069000080600
552954,Grd Mtd Dist. Substation,88,500,0.644491299,5,SO064600079200
552955,Grd Mtd Dist. Substation,17,1000,0.987150185,2,SO063600074000
553013,Grd Mtd Dist. Substation,396,500,0.234519858,3,SO056800073200
553014,Grd Mtd Dist. Substation,81,300,0,2,SO054500073400
553015,Grd Mtd Dist. Substation,153,315,0.101813399,4,SO054100071000
553016,Grd Mtd Dist. Substation,120,800,0.195171938,5,SO051000073200
553017,Grd Mtd Dist. Substation,220,315,0,4,SO050800079800
553018,Grd Mtd Dist. Substation,104,315,0,3,SO050500076300
553019,Grd Mtd Dist. Substation,185,300,0,4,SO049400074300
553020,Grd Mtd Dist. Substation,121,300,0.048340219,4,SO049000078700
553021,Grd Mtd Dist. Substation,206,315,0.511551248,4,SO048900081700
553022,Grd Mtd Dist. Substation,155,500,0,4,SO048700077200
553023,Grd Mtd Dist. Substation,165,300,0.065847212,6,SO047300076100
553087,Grd Mtd Dist. Substation,221,315,0.02731735,4,SO202200072800
553088,Grd Mtd Dist. Substation,228,500,0.148676763,5,SO201600078800
553089,Grd Mtd Dist. Substation,86,500,0.786898577,3,SO200100081200
553090,Grd Mtd Dist. Substation,81,300,0.17559869,3,SO198600076800
553092,Grd Mtd Dist. Substation,257,500,0.456829672,6,SO199900082400
553093,Grd Mtd Dist. Substation,103,800,0.901101602,4,SO197800087800
553114,Pole Mtd Dist. Substation,1,16,0,1,SO209300093600
553115,Pole Mtd Dist. Substation,1,16,0,1,SO209000091000
553116,Pole Mtd Dist. Substation,1,16,0,1,SO208500096300
553117,Grd Mtd Dist. Substation,94,500,0.027571192,2,SO208800082700
553118,Grd Mtd Dist. Substation,141,200,0.012528526,4,SO204800078800
553119,Grd Mtd Dist. Substation,127,300,0.056163424,3,SO205800086500
553120,Grd Mtd Dist. Substation,95,500,0,3,SO205800084200
553121,Grd Mtd Dist. Substation,220,300,0.047814996,3,SO202000087000
553123,Grd Mtd Dist. Substation,195,315,0.093071566,5,SO201500092200
553124,Grd Mtd Dist. Substation,146,200,0,5,SO199300097000
553125,Grd Mtd Dist. Substation,78,500,0.274398764,2,SO198400093900
553127,Grd Mtd Dist. Substation,90,200,0.659090034,4,SO197600097600
553128,Grd Mtd Dist. Substation,8,500,1,2,SO195700110100
553129,Grd Mtd Dist. Substation,272,500,0.108136158,4,SO194900100400
553130,Pole Mtd Dist. Substation,178,200,0.044985722,2,SO194700104600
553131,Grd Mtd Dist. Substation,11,500,1,2,SO194200113100
553132,Grd Mtd Dist. Substation,10,1000,1,3,SO193200112500
553198,Grd Mtd Dist. Substation,202,315,0.380196507,4,SO202400081400
553199,Grd Mtd Dist. Substation,223,500,0.050058274,5,SO202200075400
553200,Grd Mtd Dist. Substation,1,500,1,1,SO197000087000
553201,Grd Mtd Dist. Substation,1,315,1,1,SO196500088200
553202,Grd Mtd Dist. Substation,173,500,0.16548931,4,SO196400095300
553203,Grd Mtd Dist. Substation,133,315,0.606227106,4,SO193200109200
553204,Grd Mtd Dist. Substation,95,315,0.039706201,3,SO193200104400
553205,Grd Mtd Dist. Substation,64,200,0.044950859,2,SO191000111300
553212,Grd Mtd Dist. Substation,187,300,1.97E-05,4,SO190700123400
553213,Grd Mtd Dist. Substation,178,500,0.698882201,5,SO190100117800
553214,Grd Mtd Dist. Substation,323,500,0.452696882,5,SO188000118300
553215,Grd Mtd Dist. Substation,171,300,0.09442872,3,SO187800120800
553216,Grd Mtd Dist. Substation,268,315,0.062164744,7,SO185900119600
553217,Grd Mtd Dist. Substation,144,300,5.66E-05,3,SO184000117200
553218,Grd Mtd Dist. Substation,239,500,0,6,SO183400119800
553224,Grd Mtd Dist. Substation,25,1000,1,2,SO019500010000
553241,Pole Mtd Dist. Substation,0,200,1,0,ST043400990300
553252,Pole Mtd Dist. Substation,3,50,0.329757344,1,SO152200020600
553253,Grd Mtd Dist. Substation,67,500,0.95599631,1,SO141400092500
553270,Grd Mtd Dist. Substation,0,800,1,0,SO196200090600
553351,Pole Mtd Dist. Substation,1,16,0,1,SO024700061700
553373,Grd Mtd Dist. Substation,56,500,0.856007024,0,SO062000040000
553376,Grd Mtd Dist. Substation,116,315,0,4,SO026300616000
553426,Grd Mtd Dist. Substation,0,500,0.201170879,0,ST033900993800
553449,Grd Mtd Dist. Substation,153,0,0.048184321,0,ST032500992400
553462,Pole Mtd Dist. Substation,4,50,0.984571585,0,SO117158077083
553481,Pole Mtd Dist. Substation,1,16,0,1,SO205100100700
562049,Pole Mtd Dist. Substation,3,16,0,1,SS751000960900
562051,Grd Mtd Dist. Substation,493,500,0.265448591,5,SS746200962800
562052,Grd Mtd Dist. Substation,5,500,1,2,SS747300964800
562053,Grd Mtd Dist. Substation,7,315,1,2,SS748400973300
562054,Grd Mtd Dist. Substation,195,300,0,3,SS749200961400
562055,Grd Mtd Dist. Substation,429,500,0.221841754,6,SS749800966400
562056,Grd Mtd Dist. Substation,58,315,0.836888919,2,SS751000972900
562057,Grd Mtd Dist. Substation,201,500,0.49838436,4,SS751100973600
562058,Grd Mtd Dist. Substation,60,500,0.49383234,1,SS752300972300
562059,Grd Mtd Dist. Substation,330,500,0.322124176,9,SS752400970500
562060,Grd Mtd Dist. Substation,221,315,0.018382557,5,SS752600965700
562061,Grd Mtd Dist. Substation,245,500,0.231210105,6,SS753400967800
562062,Grd Mtd Dist. Substation,140,300,0.070335018,3,SS755400967200
562063,Grd Mtd Dist. Substation,114,300,0.254306333,4,SS756000969000
562064,Grd Mtd Dist. Substation,209,315,0.134518222,6,SS756300964400
562065,Grd Mtd Dist. Substation,183,315,0.011998843,4,SS758300964600
562066,Grd Mtd Dist. Substation,58,200,0,2,SS750100963200
562067,Pole Mtd Dist. Substation,21,50,0,2,SS751500963500
562068,Pole Mtd Dist. Substation,2,25,0,1,SS752200961500
562069,Pole Mtd Dist. Substation,1,16,0,1,SS752700962700
562070,Grd Mtd Dist. Substation,0,315,1,1,SS753900963200
562071,Pole Mtd Dist. Substation,3,25,0,1,SS756800959600
562072,Grd Mtd Dist. Substation,223,500,0.089932334,4,SS735400985000
562073,Grd Mtd Dist. Substation,195,500,0.015049885,5,SS739800982000
562074,Grd Mtd Dist. Substation,300,500,0.000168429,4,SS740900980800
562075,Grd Mtd Dist. Substation,301,800,0.070645602,5,SS741400984200
562076,Grd Mtd Dist. Substation,116,315,0.005399959,3,SS744400982800
562077,Grd Mtd Dist. Substation,3,800,1,2,SS746200979400
562078,Grd Mtd Dist. Substation,2,1000,1,2,SS747800979900
562079,Grd Mtd Dist. Substation,104,315,0,6,SS748400981800
562080,Grd Mtd Dist. Substation,138,315,0.113625905,5,SS750400984600
562081,Grd Mtd Dist. Substation,17,300,0.982646741,4,SS750600977600
563224,Grd Mtd Dist. Substation,113,315,0.323340268,4,SS860400901400
563225,Grd Mtd Dist. Substation,105,300,0.049814167,3,SS861300903800
563225,Grd Mtd Dist. Substation,105,300,0.049814167,3,SS861300903800
563226,Grd Mtd Dist. Substation,86,300,0,3,SS861700902300
563228,Grd Mtd Dist. Substation,82,200,0.054413271,3,SS867900891500
563229,Grd Mtd Dist. Substation,150,315,0.006342378,4,SS868100894600
563230,Grd Mtd Dist. Substation,179,315,0.185994049,3,SS868400890000
563249,Grd Mtd Dist. Substation,146,315,0.004073553,4,SS868500886900
563672,Grd Mtd Dist. Substation,76,300,0,3,SS942600871400
563683,Pole Mtd Dist. Substation,5,25,0.642197005,1,SS950400871800
563712,Grd Mtd Dist. Substation,0,800,0.379948613,0,SS940200870200
563714,Pole Mtd Dist. Substation,2,16,0,1,SS937600866600
563717,Pole Mtd Dist. Substation,1,15,1,1,SS936100872700
563718,Pole Mtd Dist. Substation,2,16,1,1,SS933900893000
563719,Grd Mtd Dist. Substation,120,315,0.277535408,2,SS933700896300
563720,Grd Mtd Dist. Substation,89,300,0.089803862,5,SS933600883600
563721,Grd Mtd Dist. Substation,193,300,0.043812176,3,SS932200899400
563722,Pole Mtd Dist. Substation,2,16,0.001749563,1,SS931100882400
563723,Grd Mtd Dist. Substation,126,300,0.063915555,3,SS931000901600
563724,Pole Mtd Dist. Substation,7,100,1,1,SS929300895000
563726,Pole Mtd Dist. Substation,39,100,0,2,SS930900903500
563727,Pole Mtd Dist. Substation,59,100,0,1,SS930200900000
563728,Grd Mtd Dist. Substation,102,300,0,2,SS932200882000
563729,Grd Mtd Dist. Substation,158,315,0.188506608,5,SS929600877200
563731,Pole Mtd Dist. Substation,37,200,0,1,SS935200865900
563732,Pole Mtd Dist. Substation,34,100,0.684790198,2,SS932800866700
563733,Pole Mtd Dist. Substation,13,50,0,1,SS931600870800
563734,Pole Mtd Dist. Substation,3,50,1,1,SS929800867000
563735,Pole Mtd Dist. Substation,1,50,1,1,SS927200874600
563737,Pole Mtd Dist. Substation,9,50,0.759600121,1,SS925000879700
563738,Pole Mtd Dist. Substation,1,16,1,1,SS922900879400
564223,Grd Mtd Dist. Substation,39,500,1,6,SS904600797900
564224,Grd Mtd Dist. Substation,31,500,1,4,SS905500797800
564229,Grd Mtd Dist. Substation,18,300,1,2,SS909600796300
564230,Grd Mtd Dist. Substation,11,500,0.996467429,3,SS907000796500
564231,Grd Mtd Dist. Substation,130,1000,0.992134739,6,SS905900796600
564285,Grd Mtd Dist. Substation,56,800,0.995075229,5,SS904800799200
564368,Grd Mtd Dist. Substation,0,500,1,1,SS903500800400
564411,Grd Mtd Dist. Substation,72,315,0.067104033,2,SS935800867600
564444,Pole Mtd Dist. Substation,1,16,0,1,SS929500901600
564497,Grd Mtd Dist. Substation,0,500,1,1,SS749100979400
564512,Pole Mtd Dist. Substation,1,50,1,1,SS294000186900
