SUBSTATION_NUMBER,TRANSFORMER_TYPE,TOTAL_CUSTOMERS,Transformer_RATING,Percentage_IC,LV_FEEDER_COUNT,GRID_REFERENCE
532239,Pole Mtd Dist. Substation,2,16,0,1,ST290700918700
532635,Pole Mtd Dist. Substation,1,16,1,1,SO275900061300
532637,Pole Mtd Dist. Substation,2,25,0,1,SO271300055300
532638,Pole Mtd Dist. Substation,1,16,0,1,SO271300053700
532639,Pole Mtd Dist. Substation,23,100,0,1,SO271200061200
532640,Pole Mtd Dist. Substation,2,16,0,1,SO271200057700
532641,Pole Mtd Dist. Substation,0,100,0,0,SO271200052300
532643,Pole Mtd Dist. Substation,16,50,0,1,SO270200059700
532645,Pole Mtd Dist. Substation,0,100,1,1,SO271343047803
532646,Pole Mtd Dist. Substation,8,16,0,1,SO270800044200
532648,Pole Mtd Dist. Substation,52,100,0.149881047,1,SO269800043400
532649,Pole Mtd Dist. Substation,1,15,1,1,SO269200074300
532650,Pole Mtd Dist. Substation,0,315,1,1,SO268600070200
532651,Pole Mtd Dist. Substation,1,15,0,1,SO268300072300
532652,Pole Mtd Dist. Substation,1,16,0,1,SO267200071400
532653,Pole Mtd Dist. Substation,2,15,0,1,SO264900071000
532654,Pole Mtd Dist. Substation,2,16,0,1,SO264700075800
532655,Pole Mtd Dist. Substation,2,16,0,1,SO263700078300
532656,Pole Mtd Dist. Substation,25,200,0.413131366,2,SO270600039500
532657,Grd Mtd Dist. Substation,195,315,0.001612776,4,SO267600041300
532660,Pole Mtd Dist. Substation,71,100,0.10817872,1,SO270100036700
532661,Grd Mtd Dist. Substation,154,200,0.020938058,2,SO265900031100
532664,Pole Mtd Dist. Substation,12,25,0,1,SO269600064600
532666,Pole Mtd Dist. Substation,7,25,0,1,SO268400064600
532668,Pole Mtd Dist. Substation,1,16,0,1,SO284600042200
532669,Pole Mtd Dist. Substation,4,25,0,1,SO282100037700
532670,Pole Mtd Dist. Substation,2,16,0,1,SO281900035200
532671,Pole Mtd Dist. Substation,1,50,1,1,SO281800030300
532672,Pole Mtd Dist. Substation,1,16,1,1,SO279300030600
532673,Pole Mtd Dist. Substation,4,16,0,1,SO273000029800
532674,Pole Mtd Dist. Substation,1,15,0,1,SO290000020400
532675,Pole Mtd Dist. Substation,1,15,0,1,SO289500019500
532676,Pole Mtd Dist. Substation,3,200,0.933153586,1,SO288600024300
532677,Grd Mtd Dist. Substation,1,200,1,1,SO286100018400
532678,Grd Mtd Dist. Substation,252,500,0.040777361,3,SO285400015000
532679,Grd Mtd Dist. Substation,204,800,0.442124292,10,SO285000022500
532680,Grd Mtd Dist. Substation,296,500,0.359571758,6,SO282100020800
532681,Grd Mtd Dist. Substation,298,500,0.035758051,10,SO278700025500
532682,Pole Mtd Dist. Substation,42,100,0.128550371,2,SO278700019000
532683,Grd Mtd Dist. Substation,274,300,0,6,SO278500023600
532684,Grd Mtd Dist. Substation,178,500,0,6,SO278100021800
532685,Grd Mtd Dist. Substation,183,500,0,4,SO275200025100
532686,Pole Mtd Dist. Substation,54,200,0.004227731,2,SO274700021600
532687,Grd Mtd Dist. Substation,71,500,0.257767256,3,SO274400019400
532688,Grd Mtd Dist. Substation,147,500,0.446655468,5,SO273900018400
532689,Grd Mtd Dist. Substation,176,500,0.138088732,4,SO273000020600
532690,Grd Mtd Dist. Substation,224,300,0.031863379,4,SO271100022800
532691,Grd Mtd Dist. Substation,116,200,0.145919619,2,SO269800026300
532694,Grd Mtd Dist. Substation,114,500,0.154326725,5,SO265200047200
532695,Pole Mtd Dist. Substation,3,100,1,1,SO264900049900
532697,Grd Mtd Dist. Substation,313,500,0.012007056,5,SO263900052100
532698,Grd Mtd Dist. Substation,140,300,0.103400604,5,SO263400045000
532699,Grd Mtd Dist. Substation,210,315,0.465341379,5,SO263100047600
532700,Grd Mtd Dist. Substation,318,500,0.396242867,5,SO269100032200
532701,Grd Mtd Dist. Substation,120,800,0.479656313,4,SO267700037500
532702,Grd Mtd Dist. Substation,236,300,0.278490662,4,SO266100034700
532703,Grd Mtd Dist. Substation,146,300,0,3,SO265900037500
532704,Grd Mtd Dist. Substation,203,300,0.047734963,4,SO262400037600
532705,Grd Mtd Dist. Substation,217,300,0.079610923,3,SO261500040300
532707,Pole Mtd Dist. Substation,5,200,1,1,SO276200062600
532708,Pole Mtd Dist. Substation,1,16,0,1,SO276200058100
532709,Pole Mtd Dist. Substation,1,25,0.95474329,1,SO273100061400
532711,Pole Mtd Dist. Substation,2,15,0,1,SO271400049500
532764,Pole Mtd Dist. Substation,3,16,0.809300521,1,SO250800098900
532766,Grd Mtd Dist. Substation,129,200,0.274263034,2,SO253500087400
532767,Grd Mtd Dist. Substation,111,200,0.004942139,4,SO253200085300
532768,Grd Mtd Dist. Substation,2,315,1,1,SO251500093200
532769,Pole Mtd Dist. Substation,1,5,0,1,SO260900083000
